Date,Status,Flight_Number,Airline,Airline_Code,Direction,Origin,Destination,Sched_Departure_Date,Sched_Departure_Time,Actual_Departure_Date,Actual_Departure_Time,Departure_Delay_mins,Actual_Arrival_Date,Actual_Arrival_Time,Arrival_Delay_mins,Duration,Hour_Slot
"Sun, 10. Aug",Landed,6E5322 IGO5322,IndiGo,6E/IGO,Departure,,Bangalore (BLR / VOBL),10 Aug,00:05 IST,10 Aug,00:36 IST,31.0,10 Aug,01:51 IST,-13.0,,00:00:00
"Sun, 10. Aug",Landed,SL219 TLM219,Thai Lion Air,SL/TLM,Departure,,Bangkok (DMK / VTBD),10 Aug,00:10 IST,10 Aug,00:39 IST,29.0,10 Aug,06:06 UTC+07,6.0,,00:00:00
"Sun, 10. Aug",Landed,IX1124 AXB1124,Air India Express,IX/AXB,Departure,,Delhi (DEL / VIDP),10 Aug,00:35 IST,10 Aug,00:50 IST,15.0,10 Aug,02:36 IST,-18.0,,00:00:00
"Sun, 10. Aug",Landed,QP1172 AKJ117K,AirKenya,QP/XAK,Departure,,Kolkata (CCU / VECC),10 Aug,00:35 IST,10 Aug,02:03 IST,1.0,10 Aug,04:30 IST,1.0,,00:00:00
"Sun, 10. Aug",Landed,LX155 SWR155,Swiss,LX/SWR,Departure,,Zurich (ZRH / LSZH),10 Aug,00:40 IST,10 Aug,01:07 IST,27.0,10 Aug,06:04 CEST,-10.0,,00:00:00
"Sun, 10. Aug",Landed,VJ884 VJC884,VietJet Air,VJ/VJC,Departure,,Ho Chi Minh City (SGN / VVTS),10 Aug,00:40 IST,10 Aug,01:18 IST,38.0,10 Aug,07:51 UTC+07,11.0,,00:00:00
"Sun, 10. Aug",Landed,VZ761 TVJ761,ThaiVietjetAir,VZ/TVJ,Departure,,Bangkok (BKK / VTBS),10 Aug,00:45 IST,10 Aug,01:09 IST,24.0,10 Aug,06:30 UTC+07,-9.0,,00:00:00
"Sun, 10. Aug",Landed,AI2986 AIC2986,Air India,AI/AIC,Departure,,Delhi (DEL / VIDP),10 Aug,00:50 IST,10 Aug,01:11 IST,21.0,10 Aug,02:54 IST,-5.0,,00:00:00
"Sun, 10. Aug",Landed,6E91 IGO091,IndiGo,6E/IGO,Departure,,Jeddah (JED / OEJN),10 Aug,00:50 IST,10 Aug,01:01 IST,11.0,10 Aug,03:04 UTC+03,-5.0,,00:00:00
"Sun, 10. Aug",Landed,AI2105 AIC2105,Air India,AI/AIC,Departure,,Singapore (SIN / WSSS),10 Aug,00:55 IST,10 Aug,10:23 IST,9.0,10 Aug,18:22 UTC+08,9.0,,00:00:00
"Sun, 10. Aug",Landed,6E911 IGO911,IndiGo,6E/IGO,Departure,,Ahmedabad (AMD / VAAH),10 Aug,01:00 IST,10 Aug,01:25 IST,25.0,10 Aug,02:16 IST,-3.0,,00:00:00
"Sun, 10. Aug",Landed,6E1501 IGO1501,IndiGo,6E/IGO,Departure,,Fujairah (FJR / OMFJ),10 Aug,01:10 IST,10 Aug,01:31 IST,21.0,10 Aug,02:16 UTC+04,-23.0,,00:00:00
"Sun, 10. Aug",Landed,UR431 UGD431,Azur Air Germany,UR/ARZ,Departure,,Entebbe (EBB / HUEN),10 Aug,01:10 IST,10 Aug,01:04 IST,-5.0,10 Aug,04:34 EAT,-1.0,,00:00:00
"Sun, 10. Aug",Landed,6E1413 IGO1413,IndiGo,6E/IGO,Departure,,Abu Dhabi (AUH / OMAA),10 Aug,01:10 IST,10 Aug,01:46 IST,36.0,10 Aug,02:41 UTC+04,-3.0,,00:00:00
"Sun, 10. Aug",Landed,AI191 AIC191,Air India,AI/AIC,Departure,,New York (EWR / KEWR),10 Aug,01:10 IST,10 Aug,01:38 IST,28.0,10 Aug,07:29 EDT,-25.0,,00:00:00
"Sun, 10. Aug",Landed,6E2775 IGO2775,IndiGo,6E/IGO,Departure,,Delhi (DEL / VIDP),10 Aug,01:15 IST,10 Aug,01:30 IST,15.0,10 Aug,03:08 IST,-6.0,,00:00:00
"Sun, 10. Aug",Landed,AF217 AFR217,Air France,AF/AFR,Departure,,Paris (CDG / LFPG),10 Aug,01:20 IST,10 Aug,01:55 IST,35.0,10 Aug,07:09 CEST,-16.0,,00:00:00
"Sun, 10. Aug",Landed,CX660 CPA660,Cathay Pacific,CX/CPA,Departure,,Hong Kong (HKG / VHHH),10 Aug,01:25 IST,10 Aug,02:29 IST,1.0,10 Aug,10:38 HKT,43.0,,00:00:00
"Sun, 10. Aug",Landed,AI119 AIC119,Air India,AI/AIC,Departure,,New York (JFK / KJFK),10 Aug,01:25 IST,10 Aug,01:51 IST,26.0,10 Aug,07:30 EDT,-24.0,,00:00:00
"Sun, 10. Aug",Landed,LH767 DLH767,Lufthansa,LH/DLH,Departure,,Munich (MUC / EDDM),10 Aug,01:30 IST,10 Aug,02:56 IST,1.0,10 Aug,07:13 CEST,58.0,,00:00:00
"Sun, 10. Aug",Landed,6E1269 IGO1269,IndiGo,6E/IGO,Departure,,Muscat (MCT / OOMS),10 Aug,01:30 IST,10 Aug,02:13 IST,43.0,10 Aug,02:47 UTC+04,17.0,,00:00:00
"Sun, 10. Aug",Landed,BA138 BAW138,British Airways,BA/BAW,Departure,,London (LHR / EGLL),10 Aug,01:40 IST,10 Aug,02:03 IST,23.0,10 Aug,06:39 BST,-30.0,,00:00:00
"Sun, 10. Aug Unknown",,SG540,SpiceJet,SG/SEJ,Departure,,Bangalore (BLR / VOBL),10 Aug,01:40 IST,,,,,,,,00:00:00
"Sun, 10. Aug",Landed,AI2422 AIC2422,Air India,AI/AIC,Departure,,Delhi (DEL / VIDP),10 Aug,01:50 IST,10 Aug,01:53 IST,3.0,10 Aug,03:37 IST,-32.0,,00:00:00
"Sun, 10. Aug",Landed,AI2241 AIC2241,Air India,AI/AIC,Departure,,Port Louis (MRU / FIMP),10 Aug,02:00 IST,10 Aug,04:03 IST,2.0,10 Aug,08:16 UTC+04,1.0,,00:00:00
"Sun, 10. Aug",Landed,SG59 SEJ059,SpiceJet,SG/SEJ,Departure,,Dubai (DXB / OMDB),10 Aug,02:00 IST,10 Aug,06:45 IST,4.0,10 Aug,07:38 UTC+04,3.0,,00:00:00
"Sun, 10. Aug",Landed,6E1853 IGO1853,IndiGo,6E/IGO,Departure,,Nairobi (NBO / HKJK),10 Aug,02:10 IST,10 Aug,02:32 IST,22.0,10 Aug,05:27 EAT,-13.0,,00:00:00
"Sun, 10. Aug",Landed,KL878 KLM878,KLM Royal Dutch Airlines,KL/KLM,Departure,,Amsterdam (AMS / EHAM),10 Aug,02:15 IST,10 Aug,02:44 IST,29.0,10 Aug,07:46 CEST,-13.0,,00:00:00
"Sun, 10. Aug",Landed,QP1539 AKJ153W,AirKenya,QP/XAK,Departure,,Bangalore (BLR / VOBL),10 Aug,02:20 IST,10 Aug,02:38 IST,18.0,10 Aug,03:55 IST,-14.0,,00:00:00
"Sun, 10. Aug",Landed,J260 AHY060,AZAL Azerbaijan Airlines,J2/AHY,Departure,,Baku (GYD / UBBB),10 Aug,02:25 IST,10 Aug,02:53 IST,28.0,10 Aug,05:28 UTC+04,-26.0,,00:00:00
"Sun, 10. Aug",Landed,6E1511 IGO15K,IndiGo,6E/IGO,Departure,,Dubai (DXB / OMDB),10 Aug,02:30 IST,10 Aug,02:41 IST,11.0,10 Aug,03:43 UTC+04,-16.0,,01:00:00
"Sun, 10. Aug",Landed,6E5159 IGO602C,IndiGo,6E/IGO,Departure,,Bangalore (BLR / VOBL),10 Aug,02:30 IST,10 Aug,02:32 IST,2.0,10 Aug,03:50 IST,-24.0,,01:00:00
"Sun, 10. Aug",Landed,SV773 SVA773,Saudi Arabian Airlines,SV/SVA,Departure,,Jeddah (JED / OEJN),10 Aug,02:30 IST,10 Aug,03:02 IST,32.0,10 Aug,04:49 UTC+03,,,01:00:00
"Sun, 10. Aug",Landed,AI2954 AIC2954,Air India,AI/AIC,Departure,,Delhi (DEL / VIDP),10 Aug,02:35 IST,10 Aug,02:39 IST,4.0,10 Aug,04:19 IST,-40.0,,01:00:00
"Sun, 10. Aug",Landed,KQ203 KQA203D,Kenya Airways,KQ/KQA,Departure,,Nairobi (NBO / HKJK),10 Aug,02:40 IST,10 Aug,08:34 IST,5.0,10 Aug,11:38 EAT,5.0,,01:00:00
"Sun, 10. Aug",Landed,LH757 DLH757,Lufthansa,LH/DLH,Departure,,Frankfurt (FRA / EDDF),10 Aug,02:40 IST,10 Aug,04:01 IST,1.0,10 Aug,08:47 CEST,42.0,,01:00:00
"Sun, 10. Aug",Landed,6E5179 IGO63DM,IndiGo,6E/IGO,Departure,,Hyderabad (HYD / VOHS),10 Aug,02:45 IST,10 Aug,03:07 IST,22.0,10 Aug,04:08 IST,-11.0,,01:00:00
